Test,Comparison,Year,Sex,Site,County,Cancer,p,Sig,Race
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Lung,Polk County,39.7,0.1528 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Polk County,69.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Polk County,97.9,0.0105 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Polk County,113.5,0.6067 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Polk County,52.4,0.1617 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Polk County,53.2,0.2569 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Polk County,84,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Polk County,123.6,0.0532 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Polk County,46.1,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Polk County,81.1,0.9593 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Polk County,58.6,0.2861 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Polk County,59.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Polk County,84.6,0.0694 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Polk County,155.4,0.3684 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Polk County,32,0.0637 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Polk County,49.7,0.5993 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Polk County,62.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Polk County,74.2,0.2451 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Polk County,415.8,0.0060 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Polk County,55.9,0.5580 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Polk County,43.8,0.0876 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Polk County,67.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Polk County,92.1,0.1870 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Polk County,297.4,0.4055 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Polk County,84.9,0.3663 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Polk County,57.9,0.6136 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Polk County,59.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Polk County,66,0.6299 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Polk County,488.3,0.0103 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Polk County,33.2,0.0359 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Polk County,31.7,0.0354 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Lung,Not Polk,68.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Lung,Not Polk,105.4,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Lung,Not Polk,72.2,0.9489 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Lung,Not Polk,45.4,0.0463 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Lung,Not Polk,27.8,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Lung,Not Polk,88.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Lung,Not Polk,158.4,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Lung,Not Polk,78.9,0.8457 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Lung,Not Polk,53.1,0.1168 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Lung,Not Polk,40,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Lung,Not Polk,53,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Lung,Not Polk,61.7,0.3731 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Lung,Not Polk,93.1,0.2387 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Lung,Not Polk,42.7,0.4842 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Lung,Not Polk,17.5,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Lung,Not Polk,65.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Lung,Not Polk,91,0.0006 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Lung,Not Polk,130.2,0.0035 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Lung,Not Polk,41.5,0.0098 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Lung,Not Polk,22.9,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Lung,Not Polk,82.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Lung,Not Polk,94.1,0.3373 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Lung,Not Polk,80.5,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Lung,Not Polk,55,0.1779 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Lung,Not Polk,27.8,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Lung,Not Polk,52.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Lung,Not Polk,88.4,0.0002 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Lung,Not Polk,156.4,0.0003 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Lung,Not Polk,36.9,0.1339 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Lung,Not Polk,19.9,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Not Polk,64.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Not Polk,75.7,0.0706 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Not Polk,70.3,0.7644 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Not Polk,34.8,0.0001 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Lung,Not Polk,18.4,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Not Polk,75.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Not Polk,93.5,0.0691 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Not Polk,87.6,0.7050 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Not Polk,51,0.0915 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Lung,Not Polk,19.2,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Not Polk,56.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Not Polk,57.9,0.8634 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Not Polk,55.9,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Not Polk,24.7,0.0002 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Lung,Not Polk,17.7,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Not Polk,60.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Not Polk,80.2,0.0005 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Not Polk,52.4,0.5788 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Not Polk,31.2,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Lung,Not Polk,21.5,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Not Polk,68.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Not Polk,76.4,0.3678 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Not Polk,36,0.1205 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Not Polk,25.7,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Lung,Not Polk,21,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Not Polk,54.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Not Polk,83.9,0.0001 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Not Polk,66.2,0.5131 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Not Polk,34.7,0.0076 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Lung,Not Polk,22.1,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Polk County,14.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Polk County,1.7,0.0011 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Polk County,36.1,0.6783 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Polk County,3.4,0.0845 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Polk County,1.4,0.0242 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Polk County,18.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Polk County,3.7,0.0683 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Polk County,62.3,0.5221 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Polk County,0,0.1841 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Polk County,0,0.1816 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Polk County,12.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Polk County,0,0.0098 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Polk County,7.2,0.8027 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Polk County,3.1,0.3330 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Polk County,19.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Polk County,0,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Polk County,0,0.8386 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Polk County,0,0.0011 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Polk County,1.4,0.0004 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Polk County,25.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Polk County,0,0.0017 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Polk County,0,0.0562 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Polk County,1.4,0.0262 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Polk County,16,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Polk County,0,0.0007 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Polk County,0,0.0419 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Polk County,1.3,0.0468 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Polk County,23.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Polk County,1,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Polk County,0,0.8618 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Polk County,1.1,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Polk County,3.7,0.0002 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Polk County,29,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Polk County,0,0.0004 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Polk County,0,0.0076 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Polk County,0,0.0027 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Polk County,20.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Polk County,1.8,0.0005 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Polk County,2.3,0.0114 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Polk County,7.6,0.1205 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Polk County,28.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Polk County,2.5,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Polk County,23.8,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Polk County,0.7,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Polk County,4.1,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Polk County,35.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Polk County,5.5,0.0041 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Polk County,1.4,0.0004 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Polk County,1.4,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Polk County,25,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Polk County,0,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Polk County,39.4,0.9414 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Polk County,0,0.0003 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Polk County,7,0.0072 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Not Polk,19.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Not Polk,0,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Not Polk,10.6,0.5080 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Not Polk,0.6,0.0002 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Melanoma,Not Polk,2,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Not Polk,23.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Not Polk,0,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Not Polk,0,0.3342 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Not Polk,0,0.0170 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Melanoma,Not Polk,1.8,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Not Polk,17.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Not Polk,0,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Not Polk,20.3,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Not Polk,1.1,0.0210 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Melanoma,Not Polk,2.2,0.0001 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Not Polk,25.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Not Polk,1.7,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Not Polk,8.6,0.0982 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Not Polk,0.4,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Melanoma,Not Polk,3.4,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Not Polk,29.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Not Polk,4.3,0.0007 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Not Polk,9.9,0.4092 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Not Polk,0.9,0.0009 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Melanoma,Not Polk,1,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Not Polk,23.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Not Polk,0.8,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Not Polk,6.5,0.2753 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Not Polk,0,0.0001 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Melanoma,Not Polk,5.7,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Not Polk,29.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Not Polk,0.3,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Not Polk,6.6,0.0051 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Not Polk,0,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Melanoma,Not Polk,3.5,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Not Polk,33.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Not Polk,0.6,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Not Polk,3.8,0.0501 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Not Polk,0,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Melanoma,Not Polk,4.6,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Not Polk,28.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Not Polk,0,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Not Polk,9.1,0.1538 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Not Polk,0,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Melanoma,Not Polk,2.4,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Not Polk,34.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Not Polk,1.8,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Not Polk,11.4,0.0079 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Not Polk,1,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Melanoma,Not Polk,4,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Not Polk,37.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Not Polk,2.8,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Not Polk,15.5,0.1456 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Not Polk,0.7,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Melanoma,Not Polk,2.1,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Not Polk,32.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Not Polk,1,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Not Polk,8.5,0.0432 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Not Polk,1.2,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Melanoma,Not Polk,5.9,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Polk County,132.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Polk County,95.5,0.0480 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Polk County,84.7,0.9385 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Polk County,35.1,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Polk County,140.6,0.8587 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Polk County,137.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Polk County,111.6,0.1540 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Polk County,87,0.8300 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Polk County,55.6,0.0001 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Polk County,97.7,0.0671 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Polk County,130.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Polk County,131.3,0.9962 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Polk County,192.1,0.7196 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Polk County,100.9,0.1731 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Polk County,87.5,0.0293 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Polk County,145.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Polk County,162.1,0.3553 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Polk County,328.7,0.2981 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Polk County,82.3,0.0003 ,1,API
